 time            v(clk)          v(D)            v(Dn)           v(Q0)           v(Qn0)          v(Q1)           v(Qn1)          v(Q2)           v(Qn2)          v(Q3)           v(Qn3)         
 1.04280000e-09  0.00000000e+00  0.00000000e+00  1.80000000e+00  1.38232656e-04  1.79991355e+00  1.38232255e-04  1.79991355e+00  1.38231899e-04  1.79991355e+00  6.62147391e-06  1.80003164e+00 
 1.05280000e-09  0.00000000e+00  0.00000000e+00  1.80000000e+00  1.43054261e-04  1.79991408e+00  1.43053228e-04  1.79991408e+00  1.43054465e-04  1.79991408e+00 -5.68877047e-06  1.79994453e+00 
 1.06280000e-09  0.00000000e+00  0.00000000e+00  1.80000000e+00  1.38149521e-04  1.79991388e+00  1.38149123e-04  1.79991388e+00  1.38148814e-04  1.79991388e+00  6.02526408e-06  1.80003086e+00 
 1.07280000e-09  0.00000000e+00  0.00000000e+00  1.80000000e+00  1.41907940e-04  1.79991455e+00  1.41906911e-04  1.79991455e+00  1.41908093e-04  1.79991455e+00 -5.08815318e-06  1.79994548e+00 
 1.08280000e-09  0.00000000e+00  0.00000000e+00  1.80000000e+00  1.38038712e-04  1.79991421e+00  1.38038315e-04  1.79991421e+00  1.38038052e-04  1.79991421e+00  5.50109616e-06  1.80003009e+00 
 1.09280000e-09  0.00000000e+00  0.00000000e+00  1.80000000e+00  1.40799319e-04  1.79991502e+00  1.40798296e-04  1.79991502e+00  1.40799424e-04  1.79991502e+00 -4.54267765e-06  1.79994637e+00 
 1.10280000e-09  0.00000000e+00  0.00000000e+00  1.80000000e+00  1.37902194e-04  1.79991454e+00  1.37901797e-04  1.79991454e+00  1.37901578e-04  1.79991454e+00  5.01992145e-06  1.80002935e+00 
 1.11280000e-09  0.00000000e+00  0.00000000e+00  1.80000000e+00  1.39726353e-04  1.79991549e+00  1.39725337e-04  1.79991549e+00  1.39726413e-04  1.79991549e+00 -4.03924849e-06  1.79994720e+00 
 1.12280000e-09  0.00000000e+00  0.00000000e+00  1.80000000e+00  1.37741803e-04  1.79991486e+00  1.37741404e-04  1.79991486e+00  1.37741228e-04  1.79991486e+00  4.57745251e-06  1.80002866e+00 
 1.13280000e-09  0.00000000e+00  0.00000000e+00  1.80000000e+00  1.38687123e-04  1.79991595e+00  1.38686114e-04  1.79991595e+00  1.38687140e-04  1.79991595e+00 -3.57533406e-06  1.79994799e+00 
 1.14280000e-09  0.00000000e+00  0.00000000e+00  1.80000000e+00  1.37559255e-04  1.79991519e+00  1.37558855e-04  1.79991519e+00  1.37558719e-04  1.79991519e+00  4.17053095e-06  1.80002800e+00 
 1.15280000e-09  0.00000000e+00  0.00000000e+00  1.80000000e+00  1.37679826e-04  1.79991641e+00  1.37678826e-04  1.79991641e+00  1.37679803e-04  1.79991641e+00 -3.14826904e-06  1.79994874e+00 
